Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/23/2019,82.35600281,84.40200043,82,83.84400177,66598000,0,0
12/20/2019,82.05799866,82.59999847,80.03800201,81.11799622,73763500,0,0
12/19/2019,79.46399689,81.37000275,79.30000305,80.80799866,90535500,0,0
12/18/2019,76.12599945,79.04399872,76.11599731,78.62999725,70605000,0,0
12/17/2019,75.79799652,77.09999847,75.18000031,75.79799652,42484000,0,0
12/16/2019,72.51000214,76.72200012,72.5,76.30000305,90871000,0,0
12/13/2019,72.20999908,73.04199982,70.9280014,71.6780014,32854500,0,0
12/12/2019,70.98400116,72.54799652,70.64600372,71.93599701,38819500,0,0
12/11/2019,70.37599945,71.43800354,70.21800232,70.54000092,34489000,0,0
12/10/2019,67.99199677,70.14600372,67.86199951,69.76799774,44141500,0,0
12/9/2019,67.31800079,68.88999939,67.01599884,67.90599823,45115500,0,0
12/6/2019,67,67.77200317,66.95400238,67.1780014,38062000,0,0
12/5/2019,66.56600189,66.88400269,65.44999695,66.0739975,18623000,0,0
12/4/2019,67.55000305,67.5719986,66.56999969,66.60600281,27665000,0,0
12/3/2019,66.52400208,67.58200073,66.43800354,67.23999786,32868500,0,0
12/2/2019,65.87999725,67.27600098,65.73799896,66.97399902,30372500,0,0
11/29/2019,66.22200012,66.2519989,65.5,65.98799896,12328000,0,0
11/27/2019,66.22399902,66.78600311,65.71399689,66.25800323,27778000,0,0
11/26/2019,67.05400085,67.09999847,65.41999817,65.78399658,39737000,0,0
11/25/2019,68.86399841,68.91400146,66.89199829,67.26799774,61697500,0,0
11/22/2019,68.03199768,68.19999695,66,66.60800171,84353000,0,0
11/21/2019,70.90200043,72.16799927,70.80000305,70.96600342,30550000,0,0
11/20/2019,72,72.23999786,69.91400146,70.44400024,33625500,0,0
11/19/2019,70.34999847,71.9980011,69.55999756,71.90399933,38624000,0,0
11/18/2019,70.58399963,70.62999725,69.22000122,69.9980011,22002000,0,0
11/15/2019,70.12799835,70.55999756,69.67199707,70.43399811,24045000,0,0
11/14/2019,69.22200012,70.76799774,68.58200073,69.87000275,32324500,0,0
11/13/2019,71,71.26599884,69.03600311,69.22200012,42100500,0,0
11/12/2019,69.37999725,70.0739975,68.80799866,69.98600006,36797000,0,0
11/11/2019,68.79000092,69.83799744,68.40000153,69.01799774,49933500,0,0
11/8/2019,66.90000153,67.49199677,66.5,67.4280014,30346000,0,0
11/7/2019,65.82800293,68.30000305,65.60399628,67.10800171,72336500,0,0
11/6/2019,63.59999847,65.34400177,62.90000153,65.31600189,39704500,0,0
11/5/2019,63.92399979,64.70200348,63.22399902,63.44400024,34717000,0,0
11/4/2019,62.95999908,64.38800049,61.85200119,63.49399948,43935000,0,0
11/1/2019,63.26399994,63.29600143,61.95999908,62.66199875,31919500,0,0
10/31/2019,62.61999893,63.79999924,62.59999847,62.98400116,25335000,0,0
10/30/2019,62.59999847,63.75799942,61.99399948,63.0019989,48209000,0,0
10/29/2019,63.9980011,64.86000061,62.95000076,63.24399948,63421500,0,0
10/28/2019,65.50800323,68.16799927,64.51999664,65.54199982,94351500,0,0
10/25/2019,59.54399872,66,59.22200012,65.62599945,150030500,0,0
10/24/2019,59.67399979,60.98600006,57.84000015,59.93600082,148604500,0,0
10/23/2019,50.90000153,51.22800064,50.27000046,50.93600082,26305500,0,0
10/22/2019,50.86399841,51.66600037,50.16999817,51.11600113,23004000,0,0
10/21/2019,51.66600037,51.90000153,50.0359993,50.70000076,25101500,0,0
10/18/2019,52.13999939,52.56000137,51.02000046,51.38999939,28749000,0,0
10/17/2019,52.5,52.95600128,52.0340004,52.39400101,23846500,0,0
10/16/2019,51.47800064,52.41999817,51.38399887,51.95000076,33420500,0,0
10/15/2019,51.54000092,52,50.82400131,51.57799911,32164000,0,0
10/14/2019,49.58000183,51.70999908,49.42599869,51.39199829,51025000,0,0
10/11/2019,49.43000031,50.2159996,49.36199951,49.57799911,42377000,0,0
10/10/2019,49.05599976,49.85599899,48.31600189,48.94800186,31416500,0,0
10/9/2019,48.26399994,49.45999908,48.13000107,48.90599823,34472000,0,0
10/8/2019,47.17399979,48.7879982,46.90000153,48.00999832,43391000,0,0
10/7/2019,45.95999908,47.7120018,45.70999908,47.54399872,40321000,0,0
10/4/2019,46.3219986,46.95600128,45.61399841,46.2859993,39975000,0,0
10/3/2019,46.37200165,46.89599991,44.85599899,46.60599899,75422500,0,0
10/2/2019,48.65800095,48.93000031,47.88600159,48.62599945,28157000,0,0
10/1/2019,48.29999924,49.18999863,47.82600021,48.93799973,30813000,0,0
9/30/2019,48.59999847,48.79600143,47.22200012,48.17399979,29399000,0,0
9/27/2019,48.43999863,49.74200058,47.74599838,48.42599869,55582000,0,0
9/26/2019,46.13199997,48.66199875,45.47999954,48.51200104,59422500,0,0
9/25/2019,44.91199875,45.79600143,43.67200089,45.74000168,47135500,0,0
9/24/2019,48.30400085,48.39799881,44.52199936,44.64199829,64457500,0,0
9/23/2019,48,49.0359993,47.84400177,48.24599838,21701000,0,0
9/20/2019,49.29800034,49.38999939,47.63199997,48.12400055,31765000,0,0
9/19/2019,49.20000076,49.58800125,48.9679985,49.31999969,23979000,0,0
9/18/2019,49,49.63399887,48.47399902,48.69800186,20851000,0,0
9/17/2019,48.49399948,49.11999893,48.07400131,48.95800018,19327000,0,0
9/16/2019,49.20000076,49.48600006,48.23400116,48.56200027,23640500,0,0
9/13/2019,49.39199829,49.68999863,48.97399902,49.04000092,26565500,0,0
9/12/2019,49.54000092,50.70000076,48.88000107,49.17399979,42906000,0,0
9/11/2019,47.47600174,49.63399887,47.20000076,49.41999817,50214000,0,0
