,Hyundai,Accent ," $16,270.00 ",Manufacturer,Model,MSRP,Company
265,,,,Porsche,2020 Porsche Cayenne Coupe,"$87,750 ",
266,,,,Porsche,2020 Porsche Panamera,"$105,150 ",
267,,,,Porsche,2020 Porsche Cayenne,"$82,450 ",
268,,,,Porsche,2020 Porsche Cayenne Coupe,"$87,750 ",
269,,,,Porsche,2020 Porsche Panamera,"$105,150 ",
270,,,,Porsche,2020 Porsche Taycan,"$152,250 ",
271,,,,Porsche,2020 Porsche 718 Cayman,"$58,850 ",
272,,,,Porsche,2020 Porsche 911,"$98,750 ",
273,,,,Porsche,2020 Porsche 718 Boxster,"$62,300 ",
274,,,,Porsche,2020 Porsche 718 Spyder,"$97,650 ",
275,,,,Porsche,2020 Porsche 911,"$111,550 ",
276,,,,Mercedes,2020 Mercedes-Benz A-Class,"$33,795 ",
277,,,,Mercedes,2020 Mercedes-Benz C-Class,"$42,395 ",
278,,,,Mercedes,2020 Mercedes-Benz CLA,"$37,645 ",
279,,,,Mercedes,2020 Mercedes-Benz CLS,"$70,945 ",
280,,,,Mercedes,2020 Mercedes-Benz E-Class,"$55,045 ",
281,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG A-Class,"$45,945 ",
282,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$56,945 ",
283,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG CLA,"$54,095 ",
284,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG CLS,"$82,195 ",
285,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$74,795 ",
286,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$99,995 ",
287,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$150,545 ",
288,,,,Mercedes,2019 Mercedes-Benz Mercedes-Maybach S-Class,"$172,195 ",
289,,,,Mercedes,2020 Mercedes-Benz S-Class,"$93,445 ",
290,,,,Mercedes,2020 Mercedes-Benz G-Class,"$128,645 ",
291,,,,Mercedes,2021 Mercedes-Benz GLA,"$37,280 ",
292,,,,Mercedes,2020 Mercedes-Benz GLB,"$37,595 ",
293,,,,Mercedes,2020 Mercedes-Benz GLC,"$43,495 ",
294,,,,Mercedes,2019 Mercedes-Benz GLC Coupe,"$48,295 ",
295,,,,Mercedes,2020 Mercedes-Benz GLE,"$54,695 ",
296,,,,Mercedes,2020 Mercedes-Benz GLS,"$76,195 ",
297,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG G-Class,"$148,495 ",
298,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLA,"$54,345 ",
299,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC,"$60,495 ",
300,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC Coupe,"$63,995 ",
301,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE,"$69,145 ",
302,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE Coupe,"$72,345 ",
303,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLS,"$127,145 ",
304,,,,Mercedes,2021 Mercedes-Benz GLA,"$37,280 ",
305,,,,Mercedes,2020 Mercedes-Benz GLB,"$37,595 ",
306,,,,Mercedes,2020 Mercedes-Benz GLC,"$43,495 ",
307,,,,Mercedes,2019 Mercedes-Benz GLC Coupe,"$48,295 ",
308,,,,Mercedes,2020 Mercedes-Benz GLE,"$54,695 ",
309,,,,Mercedes,2020 Mercedes-Benz GLS,"$76,195 ",
310,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLA,"$54,345 ",
311,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC,"$60,495 ",
312,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC Coupe,"$63,995 ",
313,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE,"$69,145 ",
314,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE Coupe,"$72,345 ",
315,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLS,"$127,145 ",
316,,,,Mercedes,2020 Mercedes-Benz A-Class,"$33,795 ",
317,,,,Mercedes,2020 Mercedes-Benz C-Class,"$54,945 ",
318,,,,Mercedes,2020 Mercedes-Benz CLA,"$37,645 ",
319,,,,Mercedes,2020 Mercedes-Benz CLS,"$70,945 ",
320,,,,Mercedes,2020 Mercedes-Benz E-Class,"$72,395 ",
321,,,,Mercedes,2020 Mercedes-Benz G-Class,"$128,645 ",
322,,,,Mercedes,2021 Mercedes-Benz GLA,"$37,280 ",
323,,,,Mercedes,2020 Mercedes-Benz GLB,"$37,595 ",
324,,,,Mercedes,2020 Mercedes-Benz GLC,"$43,495 ",
325,,,,Mercedes,2019 Mercedes-Benz GLC Coupe,"$48,295 ",
326,,,,Mercedes,2020 Mercedes-Benz GLE,"$54,695 ",
327,,,,Mercedes,2020 Mercedes-Benz GLS,"$76,195 ",
328,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG A-Class,"$45,945 ",
329,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$65,745 ",
330,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG CLA,"$54,095 ",
331,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG CLS,"$82,195 ",
332,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG E-Class,"$82,645 ",
333,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG G-Class,"$148,495 ",
334,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLA,"$54,345 ",
335,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC,"$60,495 ",
336,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG GLC Coupe,"$63,995 ",
337,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE,"$69,145 ",
338,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLE Coupe,"$72,345 ",
339,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GLS,"$127,145 ",
340,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG GT,"$125,695 ",
341,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG S-Class,"$181,095 ",
342,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SL,"$155,445 ",
343,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG SLC,"$64,895 ",
344,,,,Mercedes,2019 Mercedes-Benz Mercedes-Maybach S-Class,"$172,195 ",
345,,,,Mercedes,2020 Mercedes-Benz S-Class,"$139,595 ",
346,,,,Mercedes,2020 Mercedes-Benz SL,"$91,995 ",
347,,,,Mercedes,2020 Mercedes-Benz SLC,"$50,945 ",
348,,,,Mercedes,2019 Mercedes-Benz Metris Cargo,"$31,895 ",
349,,,,Mercedes,2019 Mercedes-Benz Metris Passenger,"$35,995 ",
350,,,,Mercedes,2020 Mercedes-Benz Metris WORKER Cargo,"$28,375 ",
351,,,,Mercedes,2020 Mercedes-Benz Metris WORKER Passenger,"$32,545 ",
352,,,,Mercedes,2020 Mercedes-Benz Sprinter 1500 Cargo,"$35,690 ",
353,,,,Mercedes,2020 Mercedes-Benz Sprinter 1500 Passenger,"$42,290 ",
354,,,,Mercedes,2020 Mercedes-Benz Sprinter 2500 Cargo,"$36,915 ",
355,,,,Mercedes,2020 Mercedes-Benz Sprinter 2500 Crew,"$40,590 ",
356,,,,Mercedes,2020 Mercedes-Benz Sprinter 2500 Passenger,"$43,515 ",
357,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 Cargo,"$46,940 ",
358,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 Crew,"$47,840 ",
359,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 XD Cargo,"$46,515 ",
360,,,,Mercedes,2020 Mercedes-Benz Sprinter 3500 XD Crew,"$50,190 ",
361,,,,Mercedes,2020 Mercedes-Benz Sprinter 4500 Cargo,"$48,565 ",
362,,,,Mercedes,2020 Mercedes-Benz Sprinter 4500 Crew,"$52,240 ",
363,,,,Mercedes,2019 Mercedes-Benz GLC,"$51,645 ",
364,,,,Mercedes,2020 Mercedes-Benz S-Class,"$110,745 ",
365,,,,Mercedes,2019 Mercedes-Benz GLC,"$51,645 ",
366,,,,Mercedes,2020 Mercedes-Benz S-Class,"$110,745 ",
367,,,,Mercedes,2020 Mercedes-Benz C-Class,"$46,945 ",
368,,,,Mercedes,2020 Mercedes-Benz CLA,"$37,645 ",
369,,,,Mercedes,2020 Mercedes-Benz CLS,"$70,945 ",
370,,,,Mercedes,2020 Mercedes-Benz E-Class,"$65,345 ",
371,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG C-Class,"$59,495 ",
372,,,,Mercedes,2019 Mercedes-Benz Mercedes-AMG CLA,"$54,095 ",
373,,,,Mercedes,2020 Mercedes-Benz Mercedes-AMG CLS,"$82,195 ",
